epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.60254,1.07934,4.53403,1.06952,0.3645,0.35,0.27104,0.16125,1.12539,3.42447,1.06344,6.666e-05,6.666e-05,6.666e-05
2,12.4758,0.97217,3.03886,1.04978,0.29582,0.77575,0.44725,0.31074,0.99133,2.86445,1.04129,0.000142047,0.000142047,0.000142047
3,16.0013,0.98706,2.0324,1.00207,0.42916,0.64375,0.56969,0.39705,1.21458,2.52136,1.1047,0.000214867,0.000214867,0.000214867
4,19.7166,0.8998,1.61173,0.96777,0.46725,0.58918,0.58511,0.45238,1.00504,2.0419,1.06852,0.000285121,0.000285121,0.000285121
5,23.1445,0.84697,1.3868,0.95195,0.60494,0.72075,0.71304,0.52809,1.0792,1.54608,1.14011,0.000352809,0.000352809,0.000352809
6,25.8834,0.9314,1.23251,1.00759,0.61206,0.6697,0.70864,0.56355,0.98516,1.60974,1.08514,0.00041793,0.00041793,0.00041793
7,28.659,0.83682,0.9949,0.94786,0.75006,0.62829,0.79778,0.61189,1.00927,1.53464,1.08223,0.000480485,0.000480485,0.000480485
8,31.9038,0.87345,0.96377,0.95981,0.74871,0.65272,0.80874,0.59951,1.08834,1.57384,1.1439,0.000540474,0.000540474,0.000540474
9,34.9366,0.88591,0.87597,0.98929,0.71837,0.79417,0.7737,0.60406,0.98665,1.43066,1.04629,0.000597896,0.000597896,0.000597896
10,37.6655,0.9088,0.84497,0.96666,0.75517,0.88991,0.83958,0.62127,1.07003,0.94541,1.08944,0.000652751,0.000652751,0.000652751
11,40.3865,0.91151,0.88072,0.98962,0.82561,0.84644,0.81966,0.58371,1.13688,1.04258,1.11375,0.000705041,0.000705041,0.000705041
12,43.1084,0.88687,0.79807,0.96179,0.68918,0.76333,0.77684,0.57943,1.10963,1.25082,1.14673,0.000754763,0.000754763,0.000754763
13,46.4836,0.85555,0.73507,0.97006,0.76115,0.85101,0.80947,0.61288,1.06688,1.14189,1.11509,0.00080192,0.00080192,0.00080192
14,49.1415,0.83811,0.78688,0.97777,0.84155,0.90353,0.84969,0.63231,1.11163,1.01181,1.12566,0.00084651,0.00084651,0.00084651
15,51.9779,0.83468,0.75674,0.95644,0.78081,0.91677,0.81293,0.59813,1.09207,0.95069,1.15755,0.000854359,0.000854359,0.000854359
16,54.5261,0.8835,0.71953,0.96298,0.76734,0.84606,0.86619,0.61876,1.16375,0.82,1.20614,0.000836027,0.000836027,0.000836027
17,57.7589,0.82212,0.6599,0.9484,0.74111,0.82348,0.86587,0.64822,1.10405,0.85068,1.20341,0.000817696,0.000817696,0.000817696
18,60.9179,0.8188,0.60399,0.94378,0.7488,0.74779,0.85711,0.67751,1.01011,0.89682,1.17412,0.000799365,0.000799365,0.000799365
19,63.5446,0.81924,0.6438,0.94878,0.59039,0.77313,0.72805,0.5784,1.00537,1.19991,1.11397,0.000781033,0.000781033,0.000781033
